iter	RMSE
0	773148.4389
1	741850.7328
2	712306.8486
3	684264.0801
4	658153.3135
5	633377.3103
6	609487.4943
7	585429.4336
8	562828.6346
9	541220.3491
10	520365.1148
11	501543.4437
12	483103.7775
13	466036.7569
14	449484.4069
15	434759.4614
16	419418.7844
17	405487.3232
18	392102.9754
19	379268.308
20	366583.1408
21	355474.1573
22	344568.9562
23	334444.1505
24	324974.9515
25	315519.7884
26	306667.0304
27	298136.7215
28	290784.276
29	283243.6958
30	276168.1856
31	269415.0242
32	263028.3013
33	256927.9142
34	251055.4463
35	245809.8062
36	240599.6786
37	235686.8221
38	230981.9034
39	226364.1636
40	222094.302
41	218334.534
42	214408.6672
43	210597.2098
44	206891.0767
45	203624.7175
46	200356.3258
47	197413.7079
48	194829.0589
49	192303.101
50	189158.7472
51	187102.2397
52	184746.6246
53	182748.0775
54	180620.6065
55	178285.8533
56	176136.1147
57	174245.2311
58	172432.352
59	170849.1925
60	169216.4377
61	168164.9433
62	166605.2213
63	165519.7893
64	164186.1091
65	163428.3596
66	161990.503
67	161014.3313
68	160258.7318
69	158983.6321
70	158315.519
71	158118.5422
72	157487.8763
73	156332.0835
74	155372.6205
75	154975.178
76	154125.0254
77	153485.6192
78	152500.6613
79	151862.6501
80	151185.0755
81	150337.9408
82	149597.9525
83	148947.257
84	148102.2819
85	147433.078
86	147109.3213
87	146791.9243
88	146330.9258
89	146112.6015
90	145853.29
91	145531.4527
92	144736.8392
93	144205.9428
94	144009.6807
95	143383.0422
96	143194.0717
97	142139.8489
98	141718.3798
99	140858.2829
100	140602.9297
101	139939.6058
102	139844.3037
103	139462.5114
104	138857.018
105	138503.4165
106	137669.49
107	137373.5762
108	137198.9107
109	136909.0785
110	136505.3804
111	136155.8606
112	135897.0246
113	135756.2619
114	135334.6483
115	135230.3416
116	134843.7028
117	134697.6434
118	133994.4005
119	133400.4642
120	133217.1764
121	132698.8175
122	131914.1131
123	131460.1746
124	131202.3935
125	130713.0298
126	130456.4595
127	130239.0302
128	130062.3524
129	129478.343
130	129427.2326
131	129025.6501
132	128826.0905
133	128353.2333
134	127909.4043
135	127603.0335
136	127472.5761
137	127021.6994
138	126922.2752
139	126542.9657
140	126384.3965
141	125844.9881
142	125579.6268
143	125362.0988
144	125026.863
145	124772.6872
146	124493.1906
147	124140.4801
148	124003.0661
149	123672.1072
150	123426.6771
151	122934.9469
152	122877.1133
153	122621.6989
154	122452.3402
155	122115.1698
156	121876.8301
157	121537.8915
158	121181.8239
159	120823.6176
160	120345.4609
161	120057.327
162	119778.0092
163	119607.6279
164	119402.8245
165	119177.082
166	118751.4232
167	118412.7429
168	118011.1993
169	117903.3503
170	117617.2029
171	117366.8345
172	117180.3028
173	116754.0404
174	116531.622
175	116442.5771
176	116157.3055
177	115872.8331
178	115635.3369
179	115189.8469
180	114932.7648
181	114747.8749
182	114603.336
183	114372.826
184	114008.7664
185	113631.1286
186	113419.4433
187	113215.1945
188	112942.3399
189	112821.098
190	112701.8774
191	112386.5799
192	112101.8651
193	111915.5744
194	111738.4362
195	111557.967
196	111376.4683
197	111151.4514
198	110969.2322
199	110797.2572
200	110627.0667
201	110441.5882
202	110218.9634
203	109950.1237
204	109725.2966
205	109605.2366
206	109455.3171
207	109342.7944
208	109075.4802
209	108906.695
210	108691.5416
211	108454.9355
212	108199.9822
213	108093.0471
214	107826.269
215	107652.3502
216	107488.8828
217	107279.7384
218	107170.5819
219	107027.324
220	106941.5182
221	106739.935
222	106612.847
223	106473.092
224	106343.6539
225	106164.2954
226	105966.0976
227	105861.5998
228	105709.1534
229	105610.6247
230	105325.8448
231	105201.7831
232	105061.6915
233	104790.3282
234	104594.9322
235	104347.9119
236	104037.9308
237	103842.4137
238	103651.2247
239	103337.6716
240	103207.2025
241	103098.4845
242	102824.8507
243	102766.0865
244	102720.6158
245	102446.9476
246	102292.6599
247	102204.7173
248	102053.9173
249	101954.1744
250	101765.6184
251	101578.7158
252	101303.5347
253	101193.1172
254	101054.3521
255	100987.0285
256	100790.8248
257	100564.7298
258	100506.517
259	100379.3424
260	100230.8415
261	100093.7004
262	99883.31101
263	99635.10548
264	99475.53805
265	99213.41305
266	99070.28898
267	98933.8006
268	98744.59543
269	98599.59038
270	98463.92871
271	98238.36322
272	98089.51393
273	97943.97325
274	97803.621
275	97665.0645
276	97449.0144
277	97392.14572
278	97248.63496
279	97093.98367
280	96934.30823
281	96695.28722
282	96490.66174
283	96259.47227
284	96125.02703
285	95929.2562
286	95788.41761
287	95649.91196
288	95500.84118
289	95347.11158
290	95242.21713
291	95075.49287
292	94965.33456
293	94796.53611
294	94650.18144
295	94466.95373
296	94288.481
297	94135.95563
298	94054.76419
299	93954.26733
