iter	Passed	Remaining
0	152	45474
1	167	24901
2	182	18063
3	196	14519
4	209	12343
5	224	11013
6	239	10021
7	253	9255
8	266	8629
9	282	8178
10	297	7804
11	311	7475
12	324	7157
13	337	6897
14	351	6671
15	357	6336
16	369	6155
17	385	6043
18	399	5913
19	414	5798
20	427	5676
21	438	5541
22	453	5465
23	466	5370
24	479	5273
25	492	5194
26	507	5131
27	520	5057
28	533	4982
29	546	4922
30	558	4848
31	570	4780
32	581	4705
33	591	4628
34	603	4568
35	613	4501
36	624	4436
37	633	4371
38	643	4307
39	654	4253
40	664	4197
41	677	4163
42	690	4125
43	703	4090
44	715	4053
45	726	4009
46	737	3968
47	747	3925
48	758	3883
49	768	3843
50	779	3804
51	790	3770
52	801	3736
53	812	3699
54	822	3665
55	835	3640
56	847	3614
57	861	3595
58	874	3570
59	886	3544
60	898	3520
61	910	3496
62	924	3478
63	936	3454
64	948	3428
65	960	3404
66	970	3376
67	982	3351
68	993	3325
69	1004	3299
70	1015	3274
71	1019	3226
72	1029	3200
73	1039	3173
74	1048	3145
75	1058	3119
76	1067	3092
77	1077	3065
78	1088	3045
79	1099	3022
80	1109	3000
81	1119	2977
82	1130	2956
83	1142	2936
84	1154	2920
85	1165	2900
86	1176	2879
87	1187	2859
88	1199	2842
89	1209	2822
90	1220	2803
91	1232	2786
92	1243	2767
93	1254	2750
94	1261	2721
95	1273	2706
96	1284	2688
97	1296	2671
98	1309	2658
99	1320	2641
100	1332	2625
101	1343	2607
102	1346	2575
103	1358	2559
104	1370	2544
105	1383	2531
106	1396	2519
107	1411	2508
108	1422	2492
109	1435	2479
110	1449	2467
111	1462	2455
112	1476	2443
113	1484	2422
114	1497	2409
115	1501	2381
116	1513	2367
117	1525	2352
118	1536	2337
119	1550	2325
120	1562	2311
121	1574	2297
122	1586	2283
123	1602	2274
124	1613	2259
125	1624	2243
126	1635	2228
127	1647	2214
128	1660	2201
129	1673	2188
130	1676	2162
131	1689	2149
132	1702	2137
133	1716	2126
134	1730	2115
135	1744	2103
136	1756	2090
137	1769	2077
138	1781	2063
139	1793	2049
140	1804	2035
141	1817	2021
142	1830	2009
143	1843	1996
144	1855	1982
145	1867	1969
146	1878	1954
147	1891	1942
148	1902	1927
149	1912	1912
150	1925	1899
151	1938	1887
152	1944	1867
153	1955	1854
154	1967	1841
155	1980	1828
156	1992	1814
157	2002	1799
158	2013	1785
159	2024	1771
160	2035	1757
161	2047	1744
162	2059	1730
163	2071	1718
164	2083	1704
165	2096	1692
166	2109	1679
167	2123	1668
168	2135	1655
169	2143	1638
170	2155	1626
171	2166	1612
172	2177	1598
173	2188	1584
174	2199	1571
175	2210	1557
176	2222	1544
177	2235	1532
178	2247	1519
179	2258	1505
180	2269	1492
181	2281	1479
182	2292	1465
183	2304	1453
184	2317	1440
185	2329	1427
186	2340	1414
187	2352	1401
188	2364	1388
189	2377	1376
190	2389	1363
191	2402	1351
192	2413	1337
193	2424	1324
194	2435	1311
195	2447	1298
196	2459	1285
197	2469	1272
198	2484	1260
199	2497	1248
200	2512	1237
201	2523	1224
202	2534	1211
203	2546	1198
204	2559	1185
205	2571	1173
206	2585	1161
207	2597	1148
208	2609	1136
209	2623	1124
210	2637	1112
211	2651	1100
212	2663	1087
213	2675	1075
214	2688	1062
215	2698	1049
216	2712	1037
217	2725	1025
218	2738	1012
219	2752	1000
220	2766	988
221	2781	977
222	2794	964
223	2808	953
224	2822	940
225	2836	928
226	2850	916
227	2864	904
228	2878	892
229	2892	880
230	2903	867
231	2916	854
232	2927	841
233	2940	829
234	2954	817
235	2967	804
236	2981	792
237	2995	780
238	3011	768
239	3027	756
240	3042	744
241	3056	732
242	3069	720
243	3082	707
244	3095	695
245	3110	682
246	3122	670
247	3135	657
248	3149	645
249	3162	632
250	3176	620
251	3190	607
252	3204	595
253	3218	582
254	3231	570
255	3246	557
256	3261	545
257	3274	533
258	3287	520
259	3300	507
260	3314	495
261	3328	482
262	3340	470
263	3354	457
264	3368	444
265	3382	432
266	3396	419
267	3410	407
268	3423	394
269	3437	381
270	3451	369
271	3465	356
272	3479	344
273	3493	331
274	3506	318
275	3521	306
276	3536	293
277	3549	280
278	3566	268
279	3580	255
280	3593	242
281	3608	230
282	3621	217
283	3638	204
284	3650	192
285	3663	179
286	3677	166
287	3690	153
288	3704	141
289	3719	128
290	3732	115
291	3746	102
292	3759	89
293	3774	77
294	3788	64
295	3804	51
296	3819	38
297	3835	25
298	3849	12
299	3864	0
